metric,value
accuracy,0.9329268292682927
roc_auc,0.9765584045584046
pr_auc,0.9448482679512271
precision,0.9117647058823529
recall,0.7948717948717948
f1,0.8493150684931506
balanced_accuracy,0.8854358974358973
tn,366.0
fp,9.0
fn,24.0
tp,93.0
