metric,value
accuracy,0.8170731707317073
roc_auc,0.8643646723646724
pr_auc,0.6803876358057287
precision,0.7647058823529411
recall,0.3333333333333333
f1,0.4642857142857143
balanced_accuracy,0.6506666666666666
tn,363.0
fp,12.0
fn,78.0
tp,39.0
