metric,value
accuracy,0.8757763975155279
roc_auc,0.8186621086162691
pr_auc,0.3802615729568502
precision,0.52
recall,0.21311475409836064
f1,0.3023255813953488
balanced_accuracy,0.5923393675705073
tn,410.0
fp,12.0
fn,48.0
tp,13.0
