metric,value
accuracy,0.9026915113871635
roc_auc,0.8790462070669631
pr_auc,0.6027093711831681
precision,0.8571428571428571
recall,0.21052631578947367
f1,0.3380281690140845
balanced_accuracy,0.6029157400543612
tn,424.0
fp,2.0
fn,45.0
tp,12.0
