metric,value
accuracy,0.906832298136646
roc_auc,0.8809727293916557
pr_auc,0.6479887748334446
precision,0.9
recall,0.29508196721311475
f1,0.4444444444444444
balanced_accuracy,0.6451713153601119
tn,420.0
fp,2.0
fn,43.0
tp,18.0
