label,feature,importance_mean_abs_shap,direction_hint
Nominal GDP (in billions of USD),NGDPD,2.8330345,↓ risk
"Inflation (CPI, % change)",PCPIPCH,1.0698981,↓ risk
Labour productivity / output index (LP),LP,0.944764,↓ risk
Net lending/borrowing of gov. (% of GDP),GGXONLB_NGDP,0.8061762,↓ risk
Unemployment rate (%),LUR,0.6674519,↓ risk
Government gross debt (% of GDP),GGXWDG_NGDP,0.4725174,↓ risk
Real GDP growth (% change),NGDP_RPCH,0.40804258,↓ risk
Current account balance (% of GDP),BCA_NGDPD,0.32265455,↑ risk
