metric,value
accuracy,0.8778467908902692
roc_auc,0.8228317272053373
pr_auc,0.3629271066482829
precision,0.375
recall,0.05263157894736842
f1,0.09230769230769231
balanced_accuracy,0.5204472448727453
tn,421.0
fp,5.0
fn,54.0
tp,3.0
