metric,value
accuracy,0.8923395445134575
roc_auc,0.8652396861160749
pr_auc,0.5914226508732284
precision,0.8461538461538461
recall,0.18032786885245902
f1,0.2972972972972973
balanced_accuracy,0.587794266179784
tn,420.0
fp,2.0
fn,50.0
tp,11.0
